GAZP_OPEN,GAZP_VOL,SBER_OPEN,SBER_VOL,DATE,TIME,MON,TUE,WED,THU,FRI
139.41,48450,136.73,17930,42578,130800,0,0,1,0,0
139.44,3990,136.74,3720,42578,130900,0,0,1,0,0
139.42,10440,136.76,519430,42578,131000,0,0,1,0,0
139.43,33740,136.89,16710,42578,131100,0,0,1,0,0
139.27,8710,136.81,13790,42578,131200,0,0,1,0,0
139.25,7710,136.86,74680,42578,131300,0,0,1,0,0
139.29,17940,136.92,707280,42578,131400,0,0,1,0,0
139.3,13800,136.95,544570,42578,131500,0,0,1,0,0
139.29,16670,137,346560,42578,131600,0,0,1,0,0
139.3,53200,137.09,419320,42578,131700,0,0,1,0,0
139.29,37680,137.01,66270,42578,131800,0,0,1,0,0
139.3,27330,137.03,8260,42578,131900,0,0,1,0,0
139.28,126510,137.01,202210,42578,132000,0,0,1,0,0
139.3,2780,136.93,101220,42578,132100,0,0,1,0,0
139.25,18530,136.87,115800,42578,132200,0,0,1,0,0
139.24,7270,136.84,78760,42578,132300,0,0,1,0,0
139.3,10350,136.83,55910,42578,132400,0,0,1,0,0
139.29,11300,136.83,66190,42578,132500,0,0,1,0,0
139.24,16240,136.8,39260,42578,132600,0,0,1,0,0
139.3,20930,136.84,9050,42578,132700,0,0,1,0,0
139.35,8130,136.87,17260,42578,132800,0,0,1,0,0
139.37,18680,136.84,17180,42578,132900,0,0,1,0,0
139.43,12440,136.82,9970,42578,133000,0,0,1,0,0
139.37,21740,136.8,13830,42578,133100,0,0,1,0,0
139.4,52450,136.84,16740,42578,133200,0,0,1,0,0
139.44,13960,136.88,7360,42578,133300,0,0,1,0,0
139.4,19770,136.9,20450,42578,133400,0,0,1,0,0
139.34,6550,136.85,4020,42578,133500,0,0,1,0,0
139.31,10460,136.84,26540,42578,133600,0,0,1,0,0
139.31,4210,136.84,41130,42578,133700,0,0,1,0,0
139.32,24690,136.83,4430,42578,133800,0,0,1,0,0
139.28,16340,136.86,3960,42578,133900,0,0,1,0,0
139.25,8980,136.85,24530,42578,134000,0,0,1,0,0
139.29,3070,136.88,126270,42578,134100,0,0,1,0,0
139.31,6010,136.89,11700,42578,134200,0,0,1,0,0
139.33,35890,136.9,17510,42578,134300,0,0,1,0,0
139.3,1910,136.92,49700,42578,134400,0,0,1,0,0
139.3,5650,136.99,11640,42578,134500,0,0,1,0,0
139.34,4240,136.95,13000,42578,134600,0,0,1,0,0
139.35,12900,136.88,73730,42578,134700,0,0,1,0,0
139.36,4850,136.86,110600,42578,134800,0,0,1,0,0
139.4,3030,136.97,21830,42578,134900,0,0,1,0,0
139.45,3370,136.98,4460,42578,135000,0,0,1,0,0
139.45,16210,136.99,76360,42578,135100,0,0,1,0,0
139.4,1400,136.99,47460,42578,135200,0,0,1,0,0
139.4,10120,136.98,13660,42578,135300,0,0,1,0,0
139.37,2770,136.95,8700,42578,135400,0,0,1,0,0
139.36,7530,136.97,27900,42578,135500,0,0,1,0,0
139.37,13220,136.98,6660,42578,135600,0,0,1,0,0
139.33,10910,136.95,750,42578,135700,0,0,1,0,0
139.37,730,136.95,7050,42578,135800,0,0,1,0,0
139.33,9770,136.95,1520,42578,135900,0,0,1,0,0
139.31,46840,136.94,42010,42578,140000,0,0,1,0,0
139.42,13750,136.94,9760,42578,140100,0,0,1,0,0
139.37,4260,136.95,47650,42578,140200,0,0,1,0,0
139.4,6730,136.98,140,42578,140300,0,0,1,0,0
139.42,5980,136.99,1880,42578,140400,0,0,1,0,0
139.43,210,136.99,14480,42578,140500,0,0,1,0,0
139.43,163700,136.98,77230,42578,140600,0,0,1,0,0
139.38,105360,136.99,28860,42578,140700,0,0,1,0,0
139.3,26820,136.98,222390,42578,140800,0,0,1,0,0
139.3,508680,136.98,128180,42578,140900,0,0,1,0,0
139.39,360610,137,51480,42578,141000,0,0,1,0,0
139.37,39370,136.99,103280,42578,141100,0,0,1,0,0
139.36,61990,137,70620,42578,141200,0,0,1,0,0
139.43,36820,137,116520,42578,141300,0,0,1,0,0
139.44,82440,137.08,31330,42578,141400,0,0,1,0,0
139.42,50,137.09,19910,42578,141500,0,0,1,0,0
139.41,2290,137.09,23670,42578,141600,0,0,1,0,0
139.42,2690,137.05,28060,42578,141700,0,0,1,0,0
139.36,60490,137.07,8470,42578,141800,0,0,1,0,0
139.35,17400,137.04,176020,42578,141900,0,0,1,0,0
139.39,38120,136.94,41180,42578,142000,0,0,1,0,0
139.33,10570,136.94,40700,42578,142100,0,0,1,0,0
139.3,38470,137.04,36380,42578,142200,0,0,1,0,0
139.27,52430,137.04,162560,42578,142300,0,0,1,0,0
139.32,30150,137.08,8130,42578,142400,0,0,1,0,0
